ticket_id,title,description,category,resolution,priority,
TKT-1109,Slow DNS resolution,Resolving internal hostnames is taking 5 seconds.,Network,Flushed DNS cache on the domain controller and restarted the DNS server service.,Medium,
TKT-1110,Need superuser access,I need root access to production database.,Access Management,Request denied. Pointed user to the emergency break-glass procedure for temporary elevated access.,Medium,
TKT-1111,MongoDB replica set out of sync,Secondary node is stuck in RECOVERING state.,Database,Forced an initial sync by deleting the data directory on the secondary and restarting mongod.,High,
TKT-1112,Helm chart deploy failed,Helm upgrade failed with 'rendered manifests contain a resource that already exists'.,Infrastructure,Used helm upgrade --force to overwrite the conflicting resources.,Medium,
TKT-1113,Blank page on load,Seeing nothing when I log in.,Application,Escalated. Need reproduction steps from user.,Low,
TKT-1114,Keylogger found,Antivirus found a keylogger on my PC.,Security,Immediately disconnected PC from network. Re-imaged entire hard drive.,Critical,
TKT-1115,File server full,The Z drive has 0 bytes free.,Storage,Identified 500GB of uncompressed video files. Moved to cold storage S3 bucket.,High,
TKT-1116,Load balancer returning 504,ALB is dropping connections to the backend targets.,Network,Increased idle timeout on the Application Load Balancer to match the backend server timeout.,High,
TKT-1117,Need to change my name,"Got married, need my email changed to jane.smith@company.com.",Access Management,Updated Active Directory UPN and set up email alias for the old address.,Low,
TKT-1118,Redis high memory usage,Redis is using 95% of memory.,Database,Deleted old unused keys and implemented a TTL policy for new cache entries.,Medium,
TKT-1119,Terraform plan taking forever,Running terraform plan takes 30 minutes.,Infrastructure,"Refactored monolithic state file into smaller, modular workspaces.",Medium,
TKT-1120,Error code 12,I got error 12.,Application,Escalated to human triage queue. Insufficient context.,Low,
TKT-1121,Vulnerability found in package,SonarQube flagged a critical CVE in our log4j dependency.,Security,Updated log4j to version 2.17.1 across all Java microservices and redeployed.,Critical,
TKT-1122,Slow file copy,Copying files to the NAS is extremely slow.,Storage,Upgraded network switch port for the NAS to 10Gbps and enabled jumbo frames.,Medium,
TKT-1123,Can't ping Google,I have no internet access.,Network,Re-enabled user's ethernet adapter in Windows network settings.,Low,
TKT-1124,Forgot bitlocker PIN,Laptop is asking for a Bitlocker recovery key.,Access Management,Retrieved recovery key from Azure AD and provided it to the user over the phone.,Medium,
TKT-1125,Postgres connection limit,Too many connections error on the database.,Database,Implemented PgBouncer as a connection pooler to multiplex connections.,High,
TKT-1126,Cannot reach Gitlab,Getting a timeout when pushing to gitlab.company.internal. My IP is 10.5.2.10.,Network,Flushed DNS on user machine and forced a group policy update.,Medium,
TKT-1127,Zoom license downgrade,My Zoom account dropped to the basic 40-minute limit. email is mark.robinson@company.com.,Access Management,Re-applied the Enterprise Zoom license tier in the admin portal.,Medium,
TKT-1128,Deadlock on user table,Transactions are piling up waiting for a lock on the users table.,Database,Killed the blocking process (PID 4920) which was running an unoptimized bulk update.,Critical,
TKT-1129,Node NotReady,Kubernetes node ip-10-0-12-34 is in NotReady state.,Infrastructure,Identified disk pressure on the node. Cleared orphaned Docker images and uncordoned.,High,
TKT-1130,Can't access shared drive,I need access to the \\fileserver\finance drive.,Access Management,Added user to the AD group 'Finance-Drive-ReadWrite'.,Low,
TKT-1131,Something went wrong,I am getting an error on my screen.,Application,Escalated to human triage queue. Requested screenshot from user.,Low,
TKT-1132,Lost AWS MFA device,I upgraded my phone and lost my Google Authenticator codes.,Access Management,Verified identity via Zoom call. Deleted old virtual MFA device in AWS IAM.,High,
TKT-1133,Spam emails increasing,I am getting 50 spam emails a day from random domains.,Security,Adjusted the spam confidence level (SCL) threshold in Exchange Online from 5 to 4.,Medium,
TKT-1134,Elasticsearch yellow cluster,"Cluster health went yellow, unassigned shards detected.",Database,Forced reroute of unassigned shards using the cluster routing API.,Medium,
TKT-1135,NPM install failing,Getting EACCES error when running npm install on the build server.,Infrastructure,Changed ownership of the ~/.npm directory to the Jenkins user.,Medium,
TKT-1136,Slow query on dashboard,The executive dashboard takes 2 minutes to load.,Database,Created a materialized view for the daily sales aggregation. Load time reduced to 3 seconds.,High,
TKT-1137,Need local admin,Need admin rights to install Docker Desktop.,Access Management,Approved via manager. Added user to the local administrators group via LAPS.,Low,
TKT-1138,VPN split tunnel broken,Cannot reach local network printers when connected to the VPN.,Network,Updated OpenVPN profile configuration to allow local LAN access.,Low,
TKT-1139,S3 bucket public exposure warning,AWS Security Hub flagged bucket 'prod-customer-backups' as public.,Security,Immediately applied Block Public Access settings and removed wildcard principal from the bucket policy.,Critical,
TKT-1140,Salesforce login failed,Cannot log into Salesforce. Says SSO error.,Access Management,Investigating widespread SSO failure with the Salesforce SAML integration.,Critical,
TKT-1141,Salesforce down,SSO is not working for Salesforce.,Access Management,Repeated issue. Linked to master ticket TKT-1140. Renewed expired SAML certificate in Okta.,Critical,
TKT-1142,Can't get into Salesforce,Getting a SAML assertion error.,Access Management,Repeated issue. Linked to master ticket TKT-1140. Renewed expired SAML certificate in Okta.,Critical,
TKT-1143,Salesforce SSO broken,Is Salesforce down? I can't log in.,Access Management,Repeated issue. Linked to master ticket TKT-1140. Renewed expired SAML certificate in Okta.,Critical,
TKT-1144,Login issue,Unable to access the CRM.,Access Management,Repeated issue. Linked to master ticket TKT-1140. Renewed expired SAML certificate in Okta.,Critical,
TKT-1145,Salesforce SAML error,Error 400 bad request on Salesforce login.,Access Management,Repeated issue. Linked to master ticket TKT-1140. Renewed expired SAML certificate in Okta.,Critical,
TKT-1146,MacBook battery swelling,My trackpad is popping out because the battery is expanding.,Infrastructure,Instructed user to power down immediately. Dispatched replacement laptop and scheduled safe disposal.,High,
TKT-1147,OOM error in Python script,The nightly data pipeline is failing with MemoryError.,Application,Optimized the Pandas script to process CSVs in chunks rather than loading the entire file into memory.,High,
TKT-1148,Cannot SSH into bastion,Connection timed out when SSHing into bastion.us-east-2.,Network,User's public IP changed. Updated the AWS Security Group ingress rules to whitelist the new IP.,Medium,
TKT-1149,Redis keys evicting too fast,Important session data is dropping out of Redis.,Database,Modified the Redis maxmemory-policy from allkeys-lru to volatile-lru.,High,
TKT-1150,Need MFA reset,My phone number 555-019-9921 is not getting the SMS codes.,Access Management,Switched user's primary MFA method from SMS to Microsoft Authenticator app.,Medium,
TKT-1151,Need Lucidchart,Manager says I need a Lucidchart license for the architecture diagrams.,Access Management,Provisioned enterprise license in the Lucid admin console.,Low,
TKT-1152,Kafka broker offline,Broker 3 in the cluster is not joining the quorum.,Infrastructure,Identified disk corruption on broker 3. Wiped the data directory and allowed it to resync from the leader.,High,
TKT-1153,How to connect to printer,I need to print something.,Infrastructure,Sent link to the internal wiki page detailing the Find-Me printing setup.,Low,
TKT-1154,Database backup failed,The pg_dump cron job failed due to insufficient disk space.,Storage,Mounted an additional 500GB NFS volume and redirected the backup path.,High,
TKT-1155,Malware alert on laptop,Crowdstrike isolated my machine. Hostname: LAPTOP-DEV-09.,Security,Investigated alert. Quarantined malicious payload dropped via a compromised npm package. Re-imaged OS.,Critical,
TKT-1156,CORS block on API,Getting blocked by CORS policy on the new microservice.,Application,Added the staging domain to the allowed origins in the Node.js Express configuration.,Medium,
TKT-1157,504 Gateway Timeout,ALB is dropping connections to the reporting service.,Network,Increased the idle timeout on the AWS Application Load Balancer to 120 seconds.,High,
TKT-1158,Cannot open PDF,Adobe Acrobat keeps crashing when I open this specific contract.,Application,Repaired the Adobe Acrobat installation via Windows Control Panel.,Low,
TKT-1159,RDS storage full,The primary database instance has 0 bytes of free storage.,Storage,Enabled storage autoscaling on the RDS instance and manually increased the allocated storage by 100GB.,Critical,
TKT-1160,Help,Can't do my work.,Application,Escalated to human triage due to lack of information.,Low,
TKT-1161,Suspicious email,Got an email saying I won a gift card. Did not click.,Security,Analyzed headers. Confirmed external phishing attempt. Blocked sender IP and reported to vendor.,Medium,
TKT-1162,Update bank info,Need to update my bank info. Please email hr@company.com on my behalf.,Access Management,Closed ticket. Instructed user they must log into Workday directly to change financial information.,Low,
TKT-1163,Kibana dashboard missing,The 'Prod-Metrics' dashboard is gone.,Application,Restored the dashboard from the saved objects backup JSON file.,Medium,
TKT-1164,Too many connections MySQL,Getting 'Host is blocked because of many connection errors'.,Database,Ran mysqladmin flush-hosts and increased max_connect_errors in the my.cnf file.,High,
TKT-1165,Need Gitlab access,Please add me to the backend-services repo.,Access Management,Granted 'Developer' role to user in the Gitlab project settings.,Low,
TKT-1166,Pod stuck in Pending,The new deployment pods are stuck in Pending state.,Infrastructure,Cluster lacked sufficient CPU resources. Scaled up the node group to accommodate the new pods.,High,
TKT-1167,VPN drops every hour,Exactly every 60 minutes my VPN disconnects.,Network,Adjusted the rekey interval in the OpenVPN server settings from 3600 seconds to 28800 seconds.,Medium,
TKT-1168,EBS volume unattached,An EC2 instance rebooted and its data drive is missing.,Storage,Manually reattached the EBS volume via the AWS console and mounted it in the OS.,High,
TKT-1169,Failed login alerts,Getting flooded with failed login attempts on root.,Security,Disabled root SSH login in sshd_config and enforced key-based authentication only.,High,
TKT-1170,Wrong timezone in logs,Log timestamps are 5 hours ahead.,Application,Set the TZ environment variable to 'UTC' in the Dockerfile.,Low,
TKT-1171,Postgres relation does not exist,Getting an error that table 'orders' does not exist in production.,Database,The migration script was executed against the wrong schema. Corrected the search_path and re-ran.,Critical,
TKT-1172,Forgot Jira password,Can't log into Jira.,Access Management,Directed user to use Okta SSO tile instead of direct login.,Low,
TKT-1173,Network drive mapped to wrong letter,My G: drive is mapped to the wrong folder.,Storage,Updated the user's logon script to map G: to the correct DFS namespace.,Low,
TKT-1174,AWS secret rotated,The database password was rotated and now the app is down.,Application,Updated the Kubernetes Secret manifest with the new password and performed a rolling restart of the pods.,Critical,
TKT-1175,Slow internet in office,Wired connection at desk 4A is very slow.,Network,Re-terminated the ethernet keystone jack at the desk which had a loose pair.,Medium,
TKT-1176,Please fix,System is glitching.,Application,Escalated to human triage for clarification.,Low,
TKT-1177,MFA prompt loop,Okta keeps asking for my fingerprint in an endless loop.,Access Management,Cleared the Okta Verify cache on the user's mobile device and re-enrolled them.,Medium,
TKT-1178,Jenkins disk full,The Jenkins master node is out of disk space.,Storage,Deleted old build artifacts and configured a job to discard builds older than 14 days.,High,
TKT-1179,High CPU on EC2,Instance i-0a1b2c3d is pinned at 100% CPU.,Infrastructure,"Identified a runaway cryptojacking script. Terminated instance, invalidated credentials, and launched forensics.",Critical,
TKT-1180,Can't pull from ECR,Docker pull is failing with authorization token expired.,Infrastructure,Configured the AWS CLI credential helper in the Docker config.json.,Medium,
TKT-1181,Bad Gateway,Getting a 502 error on the blog.,Network,Restarted the PHP-FPM service on the web server.,Medium,
TKT-1182,Need to access staging DB,Can you grant me read access to the staging Postgres database?,Database,Created a read-only role and assigned it to the user.,Low,
TKT-1183,Phishing link clicked,I clicked a link about a missed package and entered my password.,Security,"Triggered automated incident response: isolated host, reset AD password, revoked all active sessions.",Critical,
TKT-1184,App memory leak,The Java service is crashing every 4 hours.,Application,Added -XX:+HeapDumpOnOutOfMemoryError to the JVM args and escalated to the dev team for profiling.,High,
TKT-1185,Missing files,I accidentally deleted my project folder.,Storage,Restored the folder from the hourly Volume Shadow Copy (VSS) snapshot.,Medium,
